text,ix,sentence,проведение выборов,качество управления,качество здравоохранения,строительство атомной электростанции,развитие промышленности,развитие сельского хозяйства,состояние жилья,качество и стоимость услуг ЖКХ,состояние дорожной сети,газификация
20 шагов.txt,4," Мы поставим богатства России, ее природные, промышленные и финансовые ресурсы на службу народу.",0,0,0,0,1,0,0,0,0,0
20 шагов.txt,5," Проведём национализацию стратегически важных и системообразующих отраслей промышленности, электроэнергетики, железных дорог, систем связи, ведущих банков.",0,0,0,0,1,0,0,0,1,0
20 шагов.txt,6, Государство вернет себе монополию на производство и оптовую продажу этилового спирта.,0,0,0,0,1,0,0,0,0,0
20 шагов.txt,12," Те триллионы рублей, что хранятся в банках и долговых обязательствах США, мы сделаем капиталовложениями в производство, науку и образование.",0,0,0,0,1,0,0,0,0,0
20 шагов.txt,21, Сконцентрируем все свободные средства для инвестиций в отечественное производство и в человека.,0,0,0,0,1,0,0,0,0,0
20 шагов.txt,22," Откроются возможности для масштабных вливаний в экономику, для поддержки малого и среднего бизнеса, народных и коллективных предприятий.",0,0,0,0,1,0,0,0,0,0
20 шагов.txt,29," Долю обрабатывающей промышленности мы доведем с нынешних 15-20% до 70-80%, как в передовых странах мира.",0,0,0,0,1,0,0,0,0,0
20 шагов.txt,38, Осуществим газификацию страны.,0,0,0,0,0,0,0,0,0,1
20 шагов.txt,40," Обеспечим возвращение в них школ, больниц и иной социальной инфраструктуры.",0,0,1,0,0,0,0,0,0,0
20 шагов.txt,41," Развернём бесплатное для граждан подведение газа, электричества, воды и канализации к частным домам в малых городах и селах.",0,0,0,0,0,0,0,1,0,1
20 шагов.txt,43,"Контроль над ценами на основные продукты и товары первой необходимости, на тарифы ЖКХ.",0,0,0,0,0,0,0,1,0,0
20 шагов.txt,44," Мы ограничим аппетиты естественных монополий, прекратим спекулятивный рост цен на жизненно необходимые товары и услуги.",0,0,0,0,0,0,0,1,0,0
20 шагов.txt,45, Снизим цены на лекарства и тарифы на все виды транспортных перевозок.,0,0,0,0,0,0,0,1,0,0
20 шагов.txt,47, Тарифы ЖКХ не должны превышать 10 процентов дохода семьи.,0,0,0,0,0,0,0,1,0,0
20 шагов.txt,51, Налоговая система станет стимулировать инвестиционную и инновационную деятельность предприятий.,0,0,0,0,1,0,0,0,0,0
20 шагов.txt,52," Будет ликвидирован налог на добавленную стоимость, удушающий нашу промышленность.",0,0,0,0,1,0,0,0,0,0
20 шагов.txt,63, Мы гарантируем бесплатность и качество среднего и высшего образования и медицинского обслуживания.,0,0,1,0,0,0,0,0,0,0
20 шагов.txt,65," Установим нормативы финансирования науки, образования и здравоохранения – не менее 7% от ВВП для каждой отрасли.",0,0,1,0,0,0,0,0,0,0
20 шагов.txt,74, Государство будет субсидировать производство детских товаров.,0,0,0,0,1,0,0,0,0,0
20 шагов.txt,87," Введем обеспечение квартирами или домами молодых семей, ликвидацию ветхого и аварийного жилья.",0,0,0,0,0,0,1,0,0,0
20 шагов.txt,102,"Гарантировать обороноспособность и безопасность страны, высокий научно-технический уровень оборонной промышленности.",0,0,0,0,1,0,0,0,0,0
20 шагов.txt,118," Выборы на всех уровнях станут подлинно равными и свободными, с жестким пресечением любых нарушений и махинаций при подведении итогов.",1,0,0,0,0,0,0,0,0,0
20 шагов.txt,124," Центральный банк заработает как подконтрольный и подотчетный орган госвласти, мотивированный на промышленное развитие.",0,0,0,0,1,0,0,0,0,0
А. Клычков Задача каждого депутата КПРФ - провести предвыборную кампанию Зюганова как свою собственную.txt,3,"В ходе встречи Президиум ЦК КПРФ представил основные положения предвыборной программы лидера Компартии, а депутаты-коммунисты поделились с кандидатом в Президенты РФ Г.",1,0,0,0,0,0,0,0,0,0
А. Клычков Задача каждого депутата КПРФ - провести предвыборную кампанию Зюганова как свою собственную.txt,17,"«И СМИ, и даже на уровне администрации президента запускается лживая информация о каких-то наших договоренностях с Кремлём, но мы должны побороть  этот избирательный спрут.",0,1,0,0,0,0,0,0,0,0
А. Клычков Задача каждого депутата КПРФ - провести предвыборную кампанию Зюганова как свою собственную.txt,22," Более  70 процентов инвестиционных  денежных средств находятся в Москве, но при этом в городе закрываются научные, промышленные и образовательные учреждения, Москва превращается в город услуг, где возвышаются лишь гостиницы, развлекательные центры и ничего более».",0,0,0,0,1,0,0,1,0,0
А. Клычков Задача каждого депутата КПРФ - провести предвыборную кампанию Зюганова как свою собственную.txt,37,"Также Андрей Евгеньевич напомнил, что 4 марта совместно с выборами Президента РФ пройдут муниципальные выборы в Москве.",1,0,0,0,0,0,0,0,0,0
А. Клычков Задача каждого депутата КПРФ - провести предвыборную кампанию Зюганова как свою собственную.txt,38, В этот день избирается 1557 кандидатов в депутаты муниципальных собраний.,1,0,0,0,0,0,0,0,0,0
А. Клычков Задача каждого депутата КПРФ - провести предвыборную кампанию Зюганова как свою собственную.txt,45," Вместо благоустройства столицы зелеными насаждениями, скверами и парками город закапывают в асфальт.",0,0,0,0,0,0,0,0,1,0
Будем нести нашу программу избирателям!.txt,1,"В четверг, 18 января, КПРФ провела в ИА ТАСС пресс-конференцию «Предвыборная программа кандидата в президенты Николая Харитонова».",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,3,В мероприятии приняли участие кандидат в Президенты РФ Н.,1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,21," Зюганов: «Наша команда во главе с Николаем Михайловичем Харитоновым, кандидатом в Президенты Российской Федерации, только что вернулась с Дальнего Востока.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,22," Там прошли очень интересные и напряженные три дня, состоялись встречи и с рабочими, и с крестьянами, и с фермерами, и со студентами.",0,0,0,0,0,1,0,0,0,0
Будем нести нашу программу избирателям!.txt,28,"Лидер КПРФ также поблагодарил московский актив, подготовивший информационный бюллетень с материалами кандидата в Президенты РФ Н.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,37,"«Хочу обратить внимание на то, что от выборов в этом году будет зависеть очень многое, отметил далее лидер КПРФ.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,38, – В выборах участвует почти половина планеты.,1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,39," Состоятся выборы Президента РФ, а в ноябре – выборы Президента США.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,40," И от этих выборов зависит, каким образом будет дальше выстраиваться глобальная политика.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,41," Летом состоятся выборы в Евросоюзе, где 27 стран будут избирать 720 депутатов Европарламента.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,44,"Геннадий Андреевич напомнил, что выборы также пройдут в таких крупных странах, как Индия, Индонезия, Мексика.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,55," – И получили реальный результат, который реализовали, прежде всего, через народные предприятия».",0,0,0,0,1,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,57,"В частности, среди лучших предприятий Г.",0,0,0,0,1,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,66," Харитонов еще в 27 лет был назначен руководителем крупного хозяйства и за все эти годы показал пример того, как можно трудиться, сражаться, защищать Родину.",0,0,0,0,0,1,0,0,0,0
Будем нести нашу программу избирателям!.txt,69,Затем слово для выступления было предоставлено кандидату в Президенты РФ Н.,1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,73,"«Я уверен, сказал Николай Михайлович, что, опираясь на команду Компартии Российской Федерации, левых народно-патриотических сил России мы можем и должны одержать победу на выборах президента».",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,77," Харитонов подчеркнул, что после победы на выборах будет создан Государственный Совет, который возглавит Председатель ЦК КПРФ Г.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,99," – И кто бы ни победил на выборах, он обязан учитывать каждый голос и программу каждого кандидата.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,123,» задал тревожный вопрос кандидат в Президенты РФ.,1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,127," Харитонов также пообещал, что после встреч с населением предвыборная программа кандидата от КПРФ будет обязательно дополнена и расширена.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,155,"«Сибирь, Поволжье, Урал, защита прав и интересов трудящихся, развитие промышленности.",0,0,0,0,1,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,173," Афонин, это регион, где традиционно была очень высоко развита деревоперерабатывающая промышленность.",0,0,0,0,1,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,177,Затем Юрий Вячеславович остановился на ситуации в сельском хозяйстве.,0,0,0,0,0,1,0,0,0,0
Будем нести нашу программу избирателям!.txt,181," Наполовину снизилось производство мяса, и, более чем наполовину производство молока.",0,0,0,0,1,1,0,0,0,0
Будем нести нашу программу избирателям!.txt,186,"«Что касается жилищного строительства, то строится в два раза меньше квартир, чем строилось при Советской власти, – подчеркнул первый зампред ЦК КПРФ.",0,0,0,0,0,0,1,0,0,0
Будем нести нашу программу избирателям!.txt,187," – Поэтому инициатива, которую выдвинул Николай Михайлович, о том, что молодежь должна получить беспроцентную ссуду на жилье, причем, той площади, которая необходима, получила поддержку по всей стране».",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,192, По тому же Дальнему Востоку в два раза сократилось количество мест в больницах».,0,0,1,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,220, Первое из них – выборы.,1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,221," По ее мнению, люди ожидают итогов голосования со страхом, держа в памяти результаты кампании 2018 года с последовавшей за ней пенсионной реформой.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,223,"«Сейчас коммунальный коллапс власть снова пытается свалить на людей», подчеркнула Нина Александровна.",0,0,0,0,0,0,1,1,0,0
Будем нести нашу программу избирателям!.txt,224, В связи с этим она указала на возможное повышение тарифов на услуги ЖКХ вскоре после выборов.,1,0,0,0,0,0,0,1,0,0
Будем нести нашу программу избирателям!.txt,227," «Больно смотреть на людей из маленького городка, которые ждут целый год эту виртуальную «елку желаний» для того, чтобы решить проблему строительства дороги, крыши».",0,0,0,0,0,0,0,0,1,0
Будем нести нашу программу избирателям!.txt,234," При этом она отметила, что партия доверила на выборах представлять весь лево-патриотический фронт Н.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,246,"«Без нашей команды, без программы, с которой мы идем на эти выборы, мы не сможем выбраться не только из коммунального, но и из социального коллапса», сделала вывод Нина Александровна.",1,0,0,0,0,0,1,1,0,0
Будем нести нашу программу избирателям!.txt,270," «Это достойный кандидат нашей Коммунистической партии Российской Федерации и всех лево-патриотических сил, подчеркнул выступающий.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,281,"Лариса Георгиевна выразила мнение, что кандидат-коммунист символизирует на этих выборах коллективное, соборное сознание.",1,0,0,0,0,0,0,0,0,0
Будем нести нашу программу избирателям!.txt,291,"В ходе выступления Лариса Георгиевна рассказала о проблемах Института кормов в подмосковной Лобне, у которого отбирают землю под застройку.",0,0,0,0,0,1,0,0,0,0
Будем нести нашу программу избирателям!.txt,304," Харитонова подразумевает и повышение стипендий, и гарантию первого рабочего места, и решение жилищного вопроса для молодой семьи, и поддержку молодых ученых, учителей, врачей, инженеров, и бесплатный доступ к спорту, творчеству, культуре.",0,0,1,0,0,0,1,0,0,0
Будем нести нашу программу избирателям!.txt,314," Харитонов подчеркнул:  необходимо убедить население, избирателей, что, голосуя, за кандидата от КПРФ, они голосуют за себя: «У нас четко все прописано и потому главная задача нашей команды и меня, как кандидата, на теледебатах и в поездках по регионам, донести и убедить избирателей: приходите на выборы и голосуйте осознанно!",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,3," Путина о том, что предстоящие выборы в Госдуму должны пройти в честной, открытой, конкурентной борьбе.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,7,Незадолго до голосования Воронеж захлестнула волна черного пиара.,1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,10,"Сначала Левый берег усеяли листовками-анонимками, якобы разоблачающими депутата Госдумы и кандидата от КПРФ Сергея Гаврилова.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,11, А буквально на днях кто-то оставил на билбордах с изображением кандидата разводы несмываемой черной краски.,1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,16," Если грязь полилась за несколько недель до выборов, то чего можно ожидать от «специалистов по черному пиару» в день голосования на избирательных участках?",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,18,Через несколько дней последовал заказной иск в облсуд о снятии с выборов первого секретаря обкома КПРФ и кандидата от Компартии по Аннинскому округу № 89 С.,1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,33," Об этом говорит ряд фактов: необоснованные ""накаты"" в суде на наших кандидатов, испорченные билборды, административный ресурс, используемый вовсю оппонентами.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,46," Чем ближе день голосования, тем ситуация напряженнее.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,47," И нужно сказать, что в нашем регионе все больше используется административный ресурс, когда руководство районов и поселков «давит» на избирателей, открытым текстом указывая «За кого нужно голосовать».",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,68," Что же говорить, если законодательство о выборах нарушают их организаторы?",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,81," Кампания находится на самом пике, и мы видим, что выборы из засушенной инсценировки с низкой явкой и контролируемым голосованием, приобретает черты реальной борьбы.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,86," Также мы видим, что нарушается сам посыл нынешней администрации президента о недопуске олигархов во власть.",0,1,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,87," Опасность возвращения олигархов во власть, существующая сегодня через механизмы одномандатных выборов, связана с тем, что они начинают подминать политику под свои интересы, связанные не с развитием отечественной экономики, а с оффшорами.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,106,"«Мы хотим закрыть все участки по 3-4 человека на каждый, включая наблюдателей и членов комиссии с правом совещательного голоса», сообщил журналистам С.",1,0,0,0,0,0,0,0,0,0
В Воронеже состоялась пресс-конференция кандидатов в депутаты Госдумы от КПРФ.txt,110,"На вопрос о том, с какими из политических партий готовы вступать кандидаты от КПРФ в тактический альянс, лидер воронежских коммунистов С.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,3, Московский городской комитет КПРФ вместе с лево-патриотическими силами подготовил программу на выборах мэра Москвы.,1,0,0,0,0,0,0,0,0,0
