text,ix,sentence,проведение выборов,качество управления,качество здравоохранения,строительство атомной электростанции,развитие промышленности,развитие сельского хозяйства,состояние жилья,качество и стоимость услуг ЖКХ,состояние дорожной сети,газификация
AES-na-Altae.txt,1,"Я планирую создание в России нескольких АЭС, одна из которых будет размещена между Уралом и Дальним Востоком.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,2," Я предлагают воспользоваться уникальной ситуацией, и разместить АЭС в районе города Рубцовска.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,5, Прежде всего это касается атомной генерации.,0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,7,В развитие планов мы планируем строить новые АЭС в Сибири и на Дальнем Востоке.,0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,9,"Я позитивно высказываюсь о размещении АЭС, понимая, что это дополнительный мощный импульс развития регионов.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,10," По итогу, дешевая и устойчивая атомная электроэнергия, создание сотен новых квалифицированных и хорошо оплачиваемых рабочих мест, создание новой современной инфраструктуры и производств.",0,0,0,1,1,0,0,0,0,0
AES-na-Altae.txt,11," Учитывая планы создания нескольких АЭС, одна из которых будет размещена между Уралом и Дальним Востоком.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,13,"""Атомная электростанция возродит былую славу индустриального города.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,14, Возможно и потребует возрождения на современной базе Рубцовского тракторного завода.,0,0,0,0,1,0,0,0,0,0
AES-na-Altae.txt,15," Мирный атом выведет и Рубцовск, и весь наш край из депрессии, вернет людям веру в будущее, даст им большие перспективы в общественной и личной жизни.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,16," Новосибирск, Красноярск, Иркутск обладают достаточными ресурсами атомной электрогенерации.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,17," Алтайский край и Республика Алтай, в силу исторических особенностей, сегодня вынуждены большую часть электричества получать по перетокам от соседних АЭС.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,18, Именно поэтому инвесторы не могут предлагать нам сколь-либо значимые проекты промышленного производства.,0,0,0,0,1,0,0,0,0,0
AES-na-Altae.txt,19," Мирный атом решит сразу комплекс проблем, выведет наш край в разряд доноров не только в сфере сельхозпроизводства, но и промышленности.",0,0,0,1,1,0,0,0,0,0
AES-na-Altae.txt,20," Избыточную часть атомной энергии сможем продавать в Казахстан, в Монголию, Китай.",0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,23,Мы готовы обосновать размещение АЭС именно в рубцовской территории губернатору Алтайского края.,0,0,0,1,0,0,0,0,0,0
AES-na-Altae.txt,24," ""энергия прорыва"" обретет настоящий глубокий и даже сакральный смысл, если губернатор сумеет добиться реализации стоительства АЭС, небывалого ранее на Алтае проекта атомизации.",0,0,0,1,0,0,0,0,0,0
campaign-speech-1.txt,6,"Исторически город славится угледобычей, которой здесь занимаются более ста лет, впрочем на настоящий момент он знаменит ещё и химической промышленностью.",0,0,0,0,1,0,0,0,0,0
campaign-speech-1.txt,7," Наши заводы и шахты приносят огромную прибыль городскому и областному бюджету, но банальное скотство управленцев заставляет задуматься.",0,1,0,0,1,0,0,0,0,0
campaign-speech-1.txt,11," Если вы отдадите голос за меня, это скотство мы устраним за пару дней.",1,0,0,0,0,0,0,0,0,0
campaign-speech-1.txt,12," Наш народ должен дышать чистым, на сколько это возможно, воздухом, и никаких предприятий, связанных с добычей марганца, производством цианида натрия, не будет построено ни при каких условиях.",0,0,0,0,1,0,0,0,0,0
campaign-speech-1.txt,14,"Промышленность движет нашу область к новым свершениям, но совсем плохо обстоят дела с малым бизнесом.",0,0,0,0,1,0,0,0,0,0
campaign-speech-1.txt,17," Мы отберём 20 конкурентоспособных проектов в сфере малого бизнеса, учитывая мнения экспертов и проведя народное голосование.",1,0,0,0,0,0,0,0,0,0
campaign-speech-1.txt,19, Плюс лично я выберу лучшую идею и проспонсирую проект из собственных средств.,1,0,0,0,0,0,0,0,0,0
campaign-speech-1.txt,26,"Естественно любой горожанин знает о проблеме пробок, и её помогут нам решить студенты.",0,0,0,0,0,0,0,0,1,0
campaign-speech-1.txt,27," Мы ценим опыт с организацией светофоров и пешеходных переходов – нововведения пошли на пользу, так почему нам не положиться на их светлые умы, и создать несколько развязок на проблемных участках?",0,0,0,0,0,0,0,0,1,0
campaign-speech-1.txt,28, Нам по силам сократить заторы на дорогах.,0,0,0,0,0,0,0,0,1,0
campaign-speech-1.txt,32," Осторожное и постепенное омоложение административного аппарата пойдёт на пользу, ведь свежий взгляд на вещи частенько оказывается важнее мудрости прозаседавшихся чиновников.",0,1,0,0,0,0,0,0,0,0
campaign-speech-1.txt,35,"Предыдущие управленцы не решили много проблем, и продолжают создавать новые.",0,1,0,0,0,0,0,0,0,0
campaign-speech-1.txt,38," Мне нужна ваша поддержка, вы можете записаться добровольцем в штаб, либо просто прийти и проголосовать на выборах.",1,0,0,0,0,0,0,0,0,0
campaign-speech-1.txt,39," Не в коем случае не голосуйте кандидатов без причины – изучайте наши предвыборные программы, приходите на пресс-конференции со своими вопросами.",1,0,0,0,0,0,0,0,0,0
campaign-speech-10.txt,5,"С тех пор состоялись сотни наших встреч в трудовых коллективах, во дворах, на предприятиях, в общественных объединениях.",0,0,0,0,1,0,0,0,0,0
campaign-speech-10.txt,7, Очень много ваших наказов поступило в общественную приемную партии «Единая Россия» и мою приемную как кандидата на пост мэра города.,1,0,0,0,0,0,0,0,0,0
campaign-speech-10.txt,14," В окончательной разработке программы принимали участие профессиональные экономисты, руководители промышленных предприятий, ученые.",0,0,0,0,1,0,0,0,0,0
campaign-speech-11.txt,6," В Центральном районе Петербурга получилось создать необходимые условия для развития детей: шестой год нет очередей в детские сады, у нас работают талантливые педа гоги, прекрасные врачи, есть все возможности для учебы, отдыха, развития талантов наших детей.",0,0,1,0,0,0,0,0,0,0
campaign-speech-11.txt,13,ПРИШЛО ВРЕМЯ НОВОЙ ГОРОДСКОЙ ПРОГРАММЫ УЛУЧШЕНИЯ ЖИЛИЩНЫХ УСЛОВИЙ ПЕТЕРБУРЖЦЕВ.,0,0,0,0,0,0,1,0,0,0
campaign-speech-11.txt,15,"Мы успешно реализуем программы по расселению коммуналок и зда ний, находящихся в аварийном состоянии.",0,0,0,0,0,0,1,0,0,0
campaign-speech-12.txt,1,"Решить проблему ветхого жилья на улиц Пионерской, Первомайской, Строителей, Центральной.",0,0,0,0,0,0,1,0,0,0
campaign-speech-12.txt,3, Там нет газа и горячей воды.,0,0,0,0,0,0,0,1,0,1
campaign-speech-12.txt,6, Центральной жалуются на некачественную воду.,0,0,0,0,0,0,0,1,0,0
campaign-speech-12.txt,8," Люди платят за водоснабжение, но вода не соответствует ГОСТУ",0,0,0,0,0,0,0,1,0,0
campaign-speech-12.txt,9,В посёлке Хомутово заасфальтировано всего около 300 метров дорог.,0,0,0,0,0,0,0,0,1,0
campaign-speech-12.txt,10," Это так называемый частный сектор, и дороги там не просто в плохом, а в отвратительном состоянии",0,0,0,0,0,0,0,0,1,0
campaign-speech-13.txt,1,Производить отсыпку проселочных дорог.,0,0,0,0,0,0,0,0,1,0
campaign-speech-13.txt,3,"благоустроить территорию села, обратив особое внимание на центр села (ремонт и строительство тротуаров, очистка их от снега в зимний период, разборка ветхих и горелых зданий, обрезка тополей, расчистка дорог в зимний период),",0,0,0,0,0,0,1,0,1,0
campaign-speech-13.txt,6,"приблизить медицинское обслуживание к населению, путем постоянных выездов специалистов на село, сохранить ФАПы в деревнях;",0,0,1,0,0,0,0,0,0,0
campaign-speech-13.txt,7,"строительство жилого дома для специалистов социальной сферы (педагоги, врачи) • содержание дорог между деревнями,",0,0,1,0,0,0,1,0,1,0
campaign-speech-13.txt,8,урегулирование вопроса по движению рейсового автобуса с заездом в деревни • создание ассоциации руководителей и предпринимателей для решения местный проблем;,0,0,0,0,0,0,0,0,1,0
campaign-speech-13.txt,9,"участвовать в продвижении жилищно-коммунальной реформы: предоставление качественных услуг населению (бесперебойная подача воды, тепла, ремонт водопровода по ул.",0,0,0,0,0,0,0,1,0,0
campaign-speech-13.txt,13,"организация планового вывоза мусора от частного и муниципального жилого сектора, ремонт пожарных водоемов и создание противопожарных полос для защиты населенный пунктов от лесных пожаров;",0,0,0,0,0,0,1,1,0,0
campaign-speech-14.txt,2,"Используя неэффективные методы управления, местная власть закономерно превратила Ачинск в грязный, неухоженный город с разбитыми дорогами, запыленным воздухом и множеством системных проблем.",0,0,0,0,0,0,0,0,1,0
campaign-speech-15.txt,3,"обезопасить граждан города от заезжих «псевдостроителей» за счет жесткого депутатского контроля и проведения гласного тендера по всем строительным объектам; навести порядок в лифтовом хозяйстве города, исключить случаи продаж в магазинах города небезопасной для здоровья, поддельной и некачественной продукции; повысить персональную ответственность руководителей коммунальных служб города за безопасность питьевой воды, освещенность улиц и подъездов;",0,0,0,0,0,1,1,1,0,0
campaign-speech-15.txt,4,"изыскать денежные резервы для внедрения в городе лучших социальных льгот Правительства Москвы и других городов РФ, в части оплаты коммунальных услуг, проезда на транспорте, помощи молодым семьям;",0,0,0,0,0,0,1,1,0,0
campaign-speech-16.txt,1,8 сентября 2019 года состоятся выборы в Думу города Иркутска.,1,0,0,0,0,0,0,0,0,0
campaign-speech-16.txt,2, Участие в выбора Конституционное право и гражданский долг каждого избирателя.,1,0,0,0,0,0,0,0,0,0
campaign-speech-16.txt,5,"Участие в выборах говорит о наличии настоящей, а не декларативной, гражданской позиции, о том, что проис ходящее в стране и в родном городе Вам не безразлично.",1,0,0,0,0,0,0,0,0,0
campaign-speech-16.txt,8, Возможность выбора даётся гражданам довольно редко раз в несколько лет.,1,0,0,0,0,0,0,0,0,0
campaign-speech-16.txt,9," Выборы в Думу это возможность сделать что-то для того, чтобы изменить свою жизнь, жизнь своего города в лучшую сторону.",1,0,0,0,0,0,0,0,0,0
campaign-speech-16.txt,12,"Чем больше избирателей примет участие в голосовании, выскажет свою волю, тем весомее она будет.",1,0,0,0,0,0,0,0,0,0
